Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,1Code,Open source Cursor-like UI for Claude Code,79,7,https://www.producthunt.com/products/1code-cursor-like-ui-for-claude-code?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/YGTESR73YSIAM7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Developer Tools, Artificial Intelligence, GitHub, Vibe coding","Whats 1Code? An app to run your Claude Code agents in parallel that works on Mac and Web. On Mac - run locally, with or without worktrees. On Web - run in remote sandboxes with live previews of your app, mobile included, so you can check on agents from anywhere. Running multiple Claude Codes in parallel dramatically sped up how we build features.",2026-01-16T08:01:00.000Z
2,TranslateGemma ,"Open translation on Google models, supporting 55 languages",73,1,https://www.producthunt.com/products/translategemma?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/XFLAPJJYJOJQYA?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Languages, Developer Tools","TranslateGemma is a new suite of open AI translation models built on Google’s Gemma 3. It enables high-quality communication across 55 languages, combining strong accuracy with exceptional efficiency. Designed to run on mobile, local devices, and cloud environments without compromising performance.",2026-01-16T08:01:00.000Z
3,Boom video for Mac (OBS alternative),"Present live, record your screen, look pro on camera",72,1,https://www.producthunt.com/products/boom-6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/UH5BLRRBHWDCF5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Meetings, Video, Video cameras","Boom is the video app for coaches, creators, and founders who present on camera. Present live on Zoom, Meet, or Teams with pro layouts and cinematic transitions. Record tutorials, demos, and courses that are finished when you stop talking. Switch scenes on the fly with Stream Deck support. A simple OBS alternative and Loom alternative with virtual camera and webcam enhancements built in. No editing. No timeline. No post-production. Mac only. Built by a small indie team.",2026-01-16T08:01:00.000Z
4,ChatGPT Translate,Translate with ChatGPT,69,0,https://www.producthunt.com/products/chatgpt-translate?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/JS2BAELS54JK3B?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Writing, Marketing, SEO","ChatGPT Translate is a web-based AI translation tool that instantly converts text between over 50 languages while keeping meaning, context, and tone intact. You can type, paste, speak, or upload input and get nuanced translations tuned for formal, casual, or other styles. It’s built to help with everyday communication, travel, learning, and professional use.",2026-01-16T08:01:00.000Z
5,Stracti,Build AI game bots with no code required,69,1,https://www.producthunt.com/products/stractiai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/YG3XH3KIZWZDBZ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence, Games","Stracti is a no-code AI automation platform for building and running bots visually. Create bots using the web, desktop, or mobile client, then run them locally through the desktop app. Stracti uses screen-based AI detection instead of APIs, making it ideal for real-world workflows. Full control, clear action history, and reliable automation—without black-box behavior.",2026-01-16T08:01:00.000Z
6,Dynamic Content by beehiiv,Now you can tailor a single newsletter for every reader,69,1,https://www.producthunt.com/products/beehiiv?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/GWRZEP5TVVRIKM?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Email, Newsletters, Email Marketing","Dynamic Content lets you personalize your emails by showing different content to different readers, all within a single send. There’s no code, no custom templating, and no extra complexity — it's all available right inside the beehiiv editor.",2026-01-16T08:01:00.000Z
7,LocalMark Studio,"A fast, local-first Markdown editor for real work.",64,1,https://www.producthunt.com/products/localmark-studio?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/MEEMTCM5QOIBNW?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Writing, Developer Tools, GitHub","LocalMark Studio is a local-first Markdown editor designed for speed and privacy. What’s special here? Local-first storage: your notes live in your browser (IndexedDB). Real file tree: create folders + files, rename, delete. Command palette: press ⌘⇧P (Mac) / Ctrl⇧P (Windows/Linux). Smart paste: paste rich HTML and get clean Markdown. Live preview: split-pane preview with scroll sync. Extras: optional Mermaid diagrams + KaTeX math.",2026-01-16T08:01:00.000Z
8,dibma / Joki Strava,Fake your runs and flex on Strava,62,0,https://www.producthunt.com/products/dibma-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/6553JHMQMA66MU?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Web App, Running","Create realistic fake running activities for Strava with Dibma. Draw custom routes, control pace and heart rate, then export FIT files for fun, tests, or content.",2026-01-16T08:01:00.000Z
9,Serro (Early Access),Temporal knowledge graphs for fast moving engineering teams,62,1,https://www.producthunt.com/products/serro-early-access?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/X47WFBFIV2FX7I?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Software Engineering, Meetings","Teams are coding faster than ever, and context sharing has become a real bottleneck. Serro serves fast-paced engineering teams by helping them start harnessing the power of their temporal techno-organizational knowledge graphs. Meetings to prompts. Code to reports. Proactive context, automated rollups, and a 10x ROI on coordination overhead. Join our waitlist to lock in an early-bird discount.",2026-01-16T08:01:00.000Z
10,ADB Wrench,ADB in your browser + AI assistant with no install required,60,1,https://www.producthunt.com/products/adb-wrench?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/2LALTNER2O5NKX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Android, Open Source, Developer Tools, GitHub","Browser-based ADB tool via WebUSB. No SDK, no drivers, no install – just plug in and debug. Includes an AI assistant that runs ADB commands from plain English. BYOK (bring your own API key), zero tracking. Features: shell, logcat, file browser, app manager, screenshots, performance monitoring, and more. Everything runs client-side.",2026-01-16T08:01:00.000Z
