Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,SKI,"Free voice coding for Claude Code, Codex and more",0,19,https://www.producthunt.com/products/ski?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/4776JMPD744PM7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Developer Tools, Artificial Intelligence","We just built SKI — voice coding for Claude Code, Codex and more. It's not dictation: your agent answers you out loud, like a real teammate, so you build at the speed you think. You can even bring it into a meeting to build live, or send it in your place to speak for you. It's an ambient thing that just sits on your desktop — hit a key, talk, it works. All on your machine, free. Available on Mac & Windows.",2026-07-30T07:01:00.000Z
2,Memmy Agent,Let every AI remember the same you.,0,23,https://www.producthunt.com/products/memmy?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/5S7SGS3F5S6RN6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Open Source, Artificial Intelligence","🍙 Memmy Agent is a personal memory hub and local AI agent for all AI Agent and tools like Claude Code, Codex, OpenClaw and Hermes. Gives every AI one shared, full-controlled memory — they all remember the same you. Memmy turns chats, decisions, prefs, progresses, and experiences into long-term memory, brings the right context into matching task, also can take on work directly. Local-first by default. Your memory stay under your control: manage them anytime. Free start with 2M ChatGPT tokens.",2026-07-30T07:01:00.000Z
3,AI Search Console,Prompt analytics and citation mapping for AI search,0,7,https://www.producthunt.com/products/ai-search-console?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/O7C4XHAKCEG4AF?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Marketing, SEO, Artificial Intelligence","AI Search Console helps SEO and GEO teams replace manual AI visibility checks with repeatable data. Track brand mentions, rankings, share of voice, competitors, and cited sources across ChatGPT, Claude, Gemini, and Perplexity. Analyze visibility at the individual prompt level, find content and citation gaps, and generate client-ready reports without spreadsheets or screenshots.",2026-07-30T07:01:00.000Z
4,NINA,Guide users step by step inside your product.,0,5,https://www.producthunt.com/products/agenq-nina-ai-product-assistant?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/NKDYVHNHKYNZ5X?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Customer Success, User Experience, Artificial Intelligence","NINA lives inside your product and helps users exactly where they get stuck. They ask “How do I…?” by voice or text, and NINA guides them step by step on the live interface before they open a ticket, search documentation, or message support. It is not a scripted tour, chatbot, or FAQ. NINA is built for B2B SaaS teams still relying on onboarding calls, product videos, Slack channels, and repeated support answers.",2026-07-30T07:01:00.000Z
5,Pally,Your personal assistant that lives in your texts,0,16,https://www.producthunt.com/products/pally?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/O2GO374S5UU2NW?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence, iMessage Apps","Pally is your personal assistant that lives in your texts. Stop leaving people on read: let Pally reply for you, do your work, and save you time. We’re the only text agent that natively connects to your iMessage and WhatsApp inboxes, meaning Pally can monitor, alert, and even reply to your friends for you - in your tone, with your context.",2026-07-30T07:01:00.000Z
6,Claude Code usage tracking by LangWatch ,See what your Claude Code sessions actually cost,0,8,https://www.producthunt.com/products/langwatch?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/5R3GKBPGWVMPBY?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Developer Tools, Artificial Intelligence, GitHub","Track Claude Code usage: cost, cache, session replay. Run `npx langwatch claude` once. Every session gets cost with cache reads/writes as separate token classes, every bash and MCP call as a span, theoretical vs billed for your Max plan, and a full terminal replay in the UI. Works for Codex too.",2026-07-30T07:01:00.000Z
7,Focus Room,Turn YouTube into your personal learning platform ,0,3,https://www.producthunt.com/products/focus-room?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/QVIVCH4IY2RXQW?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Education, Online Learning","Focus Room turns YouTube into a personal learning platform with a structured, course-inspired interface. Convert educational videos and playlists into organized courses, navigate lessons using timestamped topics, generate concise summaries, create notes and to-do lists, track your progress, and bookmark courses for later. With unnecessary recommendations and distractions removed, Focus Room helps transform passive watching into focused, consistent learning.",2026-07-30T07:01:00.000Z
8,Greplica,Self updating wiki for coding agents,0,15,https://www.producthunt.com/products/greplica?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/Y6ERMPHE5K2ZGA?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Developer Tools, Artificial Intelligence, GitHub","Greplica gives your engineering team and every coding agent a shared memory of the codebase. It continuously extracts decisions, constraints, gotchas, failed approaches, and file-level context from coding sessions, then retrieves only what matters for the task at hand. Unlike static docs or siloed agent memory, Greplica stays grounded in the repo, keeps knowledge fresh, and works across developers, agents, clones, and forks. It is open source, runs locally, and offers a managed shared mode.",2026-07-30T07:01:00.000Z
9,Yap,"Open-source voice dictation for Mac, fully on-device",0,2,https://www.producthunt.com/products/yap-5?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/JT6THZIXX2CFC3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence, GitHub, Menu Bar Apps","Yap turns speech into text anywhere you can type on your Mac. Set a hotkey, talk, press it again, and the words get pasted into whatever field you were in. It runs entirely on device using macOS 26's speech APIs, so there's no model to download and nothing leaves your machine. It's around 3,000 lines of native Swift in a 4 MB app that idles near 60 MB of memory. Free, MIT licensed, and built by Frigade because we wanted it for ourselves.",2026-07-30T07:01:00.000Z
10,Expert Chase for iOS & Android,Where human life runs with AI,0,3,https://www.producthunt.com/products/expert-chase-deleted-1107920?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/ZK5OM6K2OEWREN?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence","Our users wanted it, now they've got it. Introducing Expert Chase for iOS & Android, along with a powerful new experience and native integrations. Expert Chase is now available on Web, iOS, and Android, with support for both the Apple and Google ecosystems. Integrations include: Apple Calendar, Google Calendar, Apple Reminders, Google Tasks, Apple Health, Google Health Connect.",2026-07-30T07:01:00.000Z
