Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,Folio AI,"Claude for PowerPoint, on steroids",0,15,https://www.producthunt.com/products/folio-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/334A7LA6L6NHLW?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Design Tools, Productivity, Artificial Intelligence","Folio AI is the first real-time AI copilot for slides. It works directly in PowerPoint or Google Slides. And it's at least 6x faster than the competition, while being more performant.",2026-06-27T07:01:00.000Z
2,QApilot's CoWork,3x Mobile Automation. Same QE Team.,0,7,https://www.producthunt.com/products/qapilot?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/NSPNNAO4TQVQUD?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Developer Tools, Artificial Intelligence","CoWork turns existing test cases into executable mobile automation with AI planning, human-approved replanning, and real-device execution on iOS, Android, and Flutter.",2026-06-27T07:01:00.000Z
3,RetroMac,Turn your Mac into a time machine.,0,3,https://www.producthunt.com/products/retromac?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/WTMDXV5MSCWOU3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Funny, Productivity, User Experience, GitHub","RetroMac wraps your everyday macOS in the look and feel of classic computers: authentic CRT shaders over your whole screen, themed docks and desktops (Mac OS 9, Windows XP/98, BeOS, Amiga…), retro widgets and games, and a virtual webcam that pipes the CRT look into Zoom, Meet or Teams. Open source, free to use with an optional one-time upgrade for extra presets and webcam support.",2026-06-27T07:01:00.000Z
4,Nada,Compose music with just your voice,0,2,https://www.producthunt.com/products/nada-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/CXYMRDKNHH5ONF?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Music, Audio, Electronic Music","Nada is the easiest way to turn your voice into music. Hum, sing, or whistle an idea, and instantly convert it into MIDI. Arrange your melodies on mobile, choose from a variety of instruments, and build songs wherever inspiration strikes. No AI generation involved, just your own creativity, captured faster.",2026-06-27T07:01:00.000Z
5,"Epilogue. Write novels, scripts & poetry",The professional book writing app built for serious authors,0,4,https://www.producthunt.com/products/epilogue-book-writing-app?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/XVGHYROTDRZOFD?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Writing, Novels, Books","Epilogue is the writing environment built for writers who take their craft seriously. Whether you're drafting your first novel, structuring a script, compiling a collection of poems, or sharing a finished book with a large alpha reader group, Epilogue keeps you in flow. No distractions, no server lag, no lock-in.",2026-06-27T07:01:00.000Z
6,Cloud World Model,"Simulate AWS, GCP & DigitalOcean without paying the bill",0,8,https://www.producthunt.com/products/cloud-world-model?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/XMLOOUK5PH6Y6V?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Software Engineering, Developer Tools, Development","Simulate AWS, GCP, Azure, OCI & DigitalOcean architectures to predict cost, performance, and resilience without provisioning real resources or paying a cloud bill. Built for learners practicing cloud skills and AI agents training on cloud optimization.",2026-06-27T07:01:00.000Z
7,Supra Player,Compare & Sync Videos Fast,0,1,https://www.producthunt.com/products/supra-player?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/NPGMW74A6LPDM3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, User Experience, Video","Supra Player is a lightweight macOS app built for reviewing, comparing, and syncing video. Compare up to 12 videos side by side with frame-accurate playback, automatic audio sync, shared zoom and pan, customizable layouts, annotations, and instant switching—without the complexity of a full video editor.",2026-06-27T07:01:00.000Z
8,OpenBot,Tag specialized agents like friends or employees,0,6,https://www.producthunt.com/products/openbot?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/XMZR7WZF2F55B6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Developer Tools, Artificial Intelligence, GitHub","OpenBot is an open-source, local-first runtime that lets you drop diverse agents into a single workspace and orchestrate them using a clean tag-and-channel system. Just tag their capabilities and let OpenBot dynamically route tasks, sync collaborative workflows, and manage persistent threads right in your local file system. Fully modular, completely self-contained, and built for developers and makers who want absolute structural control over their agent fleets.",2026-06-27T07:01:00.000Z
9,Velocity 2.0 Prompt Co-Pilot,"One click prompt enhancement for any AI tool, with context!",0,6,https://www.producthunt.com/products/velocity-2-0-prompt-co-pilot?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/CWMVTSF4W2H6PR?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Chrome Extensions, Productivity, Artificial Intelligence","Velocity is Grammarly for prompting. It turns any text into context-aware prompts, in one-click. The Chrome Extension works across 40+ tools like ChatGPT, Claude, Lovable and Runway Save time and tokens while improving output quality instantly. Whether you're vibe coding, writing, creating images or videos. Create, manage prompts with the web app, or explore the curated prompt library AI is only as good as the prompts you give it. Use Velocity to Prompt like an expert, without any expertise!",2026-06-27T07:01:00.000Z
10,MeetingMemo,"Finally, a fully private meeting & call recorder for Mac",0,1,https://www.producthunt.com/products/meetingmemo?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/N5EFDHZQOUK7Q6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Meetings","MeetingMemo records, transcribes, and summarizes your meetings and calls entirely on your Mac — your audio never leaves the device. Granola, Otter, and Fathom upload everything to their cloud; MeetingMemo doesn't. Free on-device AI is built in (no API key), so private summaries and action items work out of the box.",2026-06-27T07:01:00.000Z
