Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,TypingMind,"Pay per use, no subscription, 18 model providers supported",0,8,https://www.producthunt.com/products/typing-mind?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/AET65KN4Y36CK3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence","TypingMind is the most popular app to use LLM AI models with API keys. It brings you all the best models across 18 providers in one powerful AI workspace without having to pay for subscriptions to each one. TypingMind also provides the best AI experience ever with features focused on pro users like Projects, Fork/Parallel chat, Plugins/MCP/Skills, and a wide range of customizable options that you literally cannot find anywhere else! Go give it a try at www.typingmind.com :)",2026-06-10T07:01:00.000Z
2,Spotlight by Backplanes,Session reports for Claude Code & Codex to improve your code,0,16,https://www.producthunt.com/products/backplanes?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/YZAQ4A3CS6KC4V?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Developer Tools, Artificial Intelligence, Security","Keep up with your agents. Spotlight reads your Claude Code and Codex sessions and shows you what your agents actually did, and how to get recursively better every session: what to fix now, what to ship better next time, what's worth sharing. One harness or seven, solo or across your team. Free.",2026-06-10T07:01:00.000Z
3,Publora,The Publishing API for the Agent Era.,0,18,https://www.producthunt.com/products/publora?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/FFFDHH6IKSRQWU?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"API, Social Media, Developer Tools","Publora is a publishing API for 10 social platforms. One REST API call handles multi-network distribution — no SDKs, no OAuth wiring. The native MCP server with 18 tools gives AI agents like Claude and Cursor a full engagement loop: post, comment, react, pull analytics — across LinkedIn, X, Instagram, Threads, TikTok, YouTube, Facebook, Bluesky, Mastodon, and Telegram",2026-06-10T07:01:00.000Z
4,Screen Charm,Give your screen recordings more charm,0,10,https://www.producthunt.com/products/screen-charm?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/HIDAJHE7G4FAB3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Mac, Productivity, Video","Record your screen and instantly turn raw footage into polished, presentation-ready videos with smart zoom effects, smooth motion blur, webcam overlay, background music, and a built-in editor. No complex editing tools. No subscriptions. Just clean, high-quality demos in minutes. Export in up to 4K and share videos that actually feel professional whether you're showcasing a product, onboarding users, or recording tutorials. One-time purchase. No subscription. Just ScreenCharm.",2026-06-10T07:01:00.000Z
5,iArt.ai,Turn ideas & designs into stunning video/animation.,0,17,https://www.producthunt.com/products/iart-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/BVZIMZTBT2CLGG?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence, Video","A faster agent delivers promos/shorts, explainers, kinetic type and PRO motion graphics with audio. Ditch AE/PR/CapCut. Chat to refine and ship impact.",2026-06-10T07:01:00.000Z
6,Gemini 3.5 Live Translate,Latest audio model for live speech-to-speech translation,0,1,https://www.producthunt.com/products/gemini-3-5-live-translate?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/63A6YZZ2WCUVFU?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Android, Languages, Audio","Gemini 3.5 Live Translate brings near real-time, natural speech translation to Google AI Studio, Google Translate and Google Meet.",2026-06-10T07:01:00.000Z
7,Napkin Math,personalized AI food journal + nutrition coach,0,8,https://www.producthunt.com/products/napkin-math?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/SS55DMUBMZCXE7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Health & Fitness, Social Network, Nutrition",Napkin Math is the personalized AI food journal that helps people achieve their health goals. as simple as taking a photo of your food so cute you'll share it with a friend,2026-06-10T07:01:00.000Z
8,BlenderHunt,The indie marketplace for Blender artists and creators,0,2,https://www.producthunt.com/products/blenderhunt?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/3FDQA4QB5PWEL7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Design Tools, Tech, 3D Modeling","A curated marketplace for Blender creators to discover, sell, and purchase high-quality addons, assets, materials, and tools from independent artists worldwide.",2026-06-10T07:01:00.000Z
9,Monako Glass,Run AI coding agents hands-free from a heads-up display,0,1,https://www.producthunt.com/products/monako-glass?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/EBDEG4ZUBC45CC?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Virtual Reality, Wearables","Monako Glass is a 48g wearable running Buildroot Linux with a waveguide display, bone conduction mic, and gesture input. Lets developers run Claude Code, Codex, or any coding agent hands-free from glasses. Reservation-only, ships July-August 2026.",2026-06-10T07:01:00.000Z
10,Incorruptible by Eric Ries,Why good companies go bad and how great companies stay great,0,5,https://www.producthunt.com/products/incorruptible-by-eric-ries?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/O2SPCGELEUD5BO?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Startup Books, Startup Lessons, Business Books","Instant NY Times bestseller from Eric Ries, creator of The Lean Startup. Incorruptible reveals the structural forces (""financial gravity"") that pull great companies away from their founding purpose, and the governance design that lets the best ones resist it. The book offers the blueprint for organizations that can grow, prosper, and endure without losing their soul. 💬 Launch AMA with Eric 📘 Free implementation guide for Product Hunt incorruptible.co/resources/guide-for-ph",2026-06-10T07:01:00.000Z
11,SeaTicket,Al agent that resolves issues across all your channels,0,3,https://www.producthunt.com/products/seaticket?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/VBYGJCKDHUYJ33?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Artificial Intelligence, GitHub","Software teams are drowning in a sea of fragmented issues across GitHub, Discourse and emails. Valuable feedback is often buried under noise. SeaTicket transforms community support by syncing these into a single workspace. What makes it different? Full Context: Bring related issues and documents when solving an issue. AI Agents: Built-in agents autonomously suggest resolutions using existing documents and previous issues. Stop digging for context. Start resolving.",2026-06-10T07:01:00.000Z
12,Axol,Automate physical work with a powerful robot,0,4,https://www.producthunt.com/products/axol?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/MA2XPJNWOIIKHL?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Robots, Developer Tools, Artificial Intelligence","Axol is a dual-arm robot designed for teams automating real work with physical AI. Easy data collection, long reach, and a high range of motion means you can automate work that matters.",2026-06-10T07:01:00.000Z
13,OLO Robotics,Control robots in your browser — no setup needed,0,1,https://www.producthunt.com/products/olo-robotics?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/QNNORTYHNRJIVI?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Robots, Developer Tools, Artificial Intelligence","OLO is a web-based platform that gives developers, researchers, and academics everything they need to program robots — without the setup hell. Get ROS2 access, robot visualization, simulation and AI-assisted coding all in your browser. Go from idea to working robot in 30 minutes, not two weeks. No Linux installs. No config rabbit holes. Just you, your robot, and a JavaScript or Python SDK playground ready from day one. Now open for sign-ups.",2026-06-10T07:01:00.000Z
14,veridive,Find the 30 seconds that matter in any video via chat,0,2,https://www.producthunt.com/products/veridive-discover-the-spoken-web?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/3E4FWZNWXIXXFT?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, YouTube, Search","veridive turns YouTube, podcasts, lectures and interviews into cited answers — pinpointed to the exact second the answer is spoken. Ask in any language! veridive searches live, reads the transcripts, ranks sources by who actually knows, and answers with a click-to-play citation on every claim.",2026-06-10T07:01:00.000Z
15,Hero Studio Photos,"Snap one photo, get listing-ready shots from every angle",0,3,https://www.producthunt.com/products/hero-9?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/VNMX7USPKQFIDY?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Android, API, Photography, Artificial Intelligence","Snap one photo of whatever you're selling and Hero turns it into clean studio shots from every angle, including on-model and mannequin-style images for clothing. Live on iOS and Android, with an API and MCP server so developers and AI agents can build on it.",2026-06-10T07:01:00.000Z
16,LayerProof Vellum,One canvas for every image asset you need,0,13,https://www.producthunt.com/products/layerproof-social-content-generation?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/O5HHVRX2ZILQUR?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Design Tools, Marketing, Artificial Intelligence","Turn unpredictable AI image generations into controlled production pipelines with LayerProof Vellum. Vellum is LayerProof’s drag-and-drop visual canvas for teams who want to engineer their images, not guess them. Plug your subject, background, and effects together on the canvas, and Vellum fuses them into a pixel-perfect final asset.",2026-06-10T07:01:00.000Z
17,AGNT.Hub,Build always-on AI agents without managing servers,0,2,https://www.producthunt.com/products/agnt-hub?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/IILMADBX4VM3HF?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Developer Tools, Artificial Intelligence","Most AI tools stop at the chat box. AGNT Hub gives you a private AI workspace running inside an isolated cloud container. Add custom skills, connect tools like Notion via MCP, and build workflows once. Let your agents run in the background without touching Docker, AWS, or config files.",2026-06-10T07:01:00.000Z
18,Zingle,Learn words in context with AI,0,2,https://www.producthunt.com/products/zingle-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/HQ77H6POHIZXEF?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Languages, Artificial Intelligence, Online Learning","Learn words where they make sense. Read stories and your own content, understand words in context with AI, and remember them through a connected learning loop.",2026-06-10T07:01:00.000Z
19,fort,One command to audit and fix your Mac's security,0,2,https://www.producthunt.com/products/fort-3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/QXFWYXLLXJJUPC?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Mac, Productivity, GitHub, Security","Most Mac security tools need agents, signups, or MDM. fort doesn't. One command checks 15+ security settings: FileVault, SIP, firewall, screen lock, local admin rights, Gatekeeper, SSH, AirDrop and more. Reports a score and fixes most issues automatically. Single binary. No telemetry. MIT licensed. Perfect for developers hardening their own Mac, and for teams preparing for SOC 2 or ISO 27001 without the MDM overhead. brew install djadmin/tap/fort",2026-06-10T07:01:00.000Z
20,Timmy-TUI ,Local-first agent trust console with a safe local workspace,0,1,https://www.producthunt.com/products/timmy-tui?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/U5D3J6J63LDJFU?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Developer Tools, Artificial Intelligence, GitHub","TIMMYTUI is a local-first terminal agent trust console for builders. It combines OpenRouter model selection, MCP → CLI evidence bundles, a safe local filesystem/workspace, cmux launch, Browser Companion mirroring, local logs, and sealed TIMMY receipts with manifest hashes. Cloudflare-backed receipts, memory, and deployment workflows are next.",2026-06-10T07:01:00.000Z
