Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,Framer 3.0,"With Agents, Branching, Community, and an all-new design",0,2,https://www.producthunt.com/products/framer?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/64HL7FCICRJ4CQ?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Design Tools, Website Builder, Artificial Intelligence","Agents bring AI to the canvas to help you design, write, analyze, and organize your sites. We’re also launching Branching, a new way for teams to explore ideas before they go live, and unveiling the new Framer Community, where creators can share and earn. Together, these launches change how teams create, maintain, and scale websites. We think you’ll love it.",2026-06-17T07:01:00.000Z
2,Android 17,Android becomes an intelligence system,0,2,https://www.producthunt.com/products/android?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/DPQ4UERYTICR5L?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Android, Artificial Intelligence, Development","Android 17 brings AppFunctions, Android MCP, adaptive-first app requirements, App Bubbles, Continue On, stronger privacy controls, memory limits, performance improvements, and new media/camera APIs as Android starts shifting from an operating system into an intelligence system.",2026-06-17T07:01:00.000Z
3,Dopami,Household chores without the mental load for ADHD,0,3,https://www.producthunt.com/products/dopami?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/FBPTZIGWMZDYLT?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Task Management, Home","Dopami helps ADHD families, adults, and roommates handle household chores without mental load by suggesting small missions based on room, time, energy, and shared home context.",2026-06-17T07:01:00.000Z
4,Cilantro,Watches your accounts and tells you what changed,0,1,https://www.producthunt.com/products/cilantro?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/DMJN5IXQA3M22J?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"iOS, Fintech, Personal Finance","Connect your bank accounts once and Cilantro does the watching - odd charges, bill creep, auto-detected trip recaps, and a weekly ""here's what changed."" No budgets, no tagging. Works solo, better with a partner. Read-only, no ads, no data sales.",2026-06-17T07:01:00.000Z
5,Swytchcode CLI,"Give agents reliable access to 2,000+ APIs w/ durable state",0,6,https://www.producthunt.com/products/swytchcode?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/XGLQDUQRILY2VD?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"API, Developer Tools, Artificial Intelligence","Write agent logic, and skip the plumbing. Give AI agents reliable access to 2,000+ APIs with retries, idempotency, policy enforcement, and durable state.",2026-06-17T07:01:00.000Z
6,Mirlo,"Social media for real connections. No likes, no algorithm.",0,3,https://www.producthunt.com/products/mirlo?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/JNY45JPBOBQUX6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"iOS, Social Media, Social Networking","Mirlo is a European social app for real human connection. Built without engagement hooks: no likes, no public comments, no algorithm, no infinite scroll. Mutual connections only, so the conversation stays between the people in it. Hosted in the EU, no ads, no data sold. Subscription-only, 14-day trial. On iOS across 30 EU countries with wider rollout planned. Made for the people who quietly closed the apps that stopped working for them.",2026-06-17T07:01:00.000Z
7,Redactify,Automated profanity censoring for video & audio,0,1,https://www.producthunt.com/products/redactify?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/TSJ3B6FFBRFCJR?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Social Media, Entertainment, Video","Bleep out swear words in your videos automatically, and blur speakers' mouths so nothing slips through. Built for creators, podcasters, and media teams shipping to TikTok, YouTube, Twitch and Spotify.",2026-06-17T07:01:00.000Z
8,Tapfree for Chrome,Voice dictation that adapts to what’s on your screen,0,7,https://www.producthunt.com/products/tapfree-for-android-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/JWZ6X5DYJU2KA2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Chrome Extensions, Productivity, Artificial Intelligence","Typing on the web has not evolved. Tapfree fixes that. Tapfree is a voice-first keyboard for Chrome text fields and ChromeOS that lets you write messages, notes, docs, and emails by speaking naturally - without dictation errors, awkward formatting, or constant corrections. It understands context, not just words.",2026-06-17T07:01:00.000Z
9,ClawEase,An AI business operator that books appointments for SMBs.,0,2,https://www.producthunt.com/products/clawease?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/5EIZXI5AMTEQZA?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, SaaS, Artificial Intelligence","Clawease is an AI business operator for SMBs that captures customer inquiries, checks availability, books appointments, and sends confirmations across phone, WhatsApp, and web forms. It helps appointment-driven teams respond faster, reduce admin work, and convert more inquiries into booked appointments.",2026-06-17T07:01:00.000Z
10,Daemons by Charlie Labs,"Keep PRs, issues, CI, and docs moving with AI agents",0,3,https://www.producthunt.com/products/daemons-by-charlie-labs?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/6N2SY23DZALOT6?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Software Engineering, Developer Tools, Artificial Intelligence","Charlie Labs gives engineering teams always-on AI daemons that keep work moving after coding agents create it. Define recurring roles in your repo, then let Daemons monitor PRs, issues, CI, docs, and Sentry errors over time. Instead of waiting for another human prompt, Daemons leave reviewable updates where your team already works: GitHub, Linear, Slack, and Sentry.",2026-06-17T07:01:00.000Z
11,Typerino,"Screenwriting and playwriting for movies, television, stage.",0,1,https://www.producthunt.com/products/typerino?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/7RVXX2IGKRAB3W?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Mac, Productivity, Writing","Industry-standard screenwriting and stage-play formatting for feature, television, and stage. No Markdown, no syntax: what you type is what gets exported. Mac and Windows. Free 14-day trial, then $11.99/mo, or $99/year.",2026-06-17T07:01:00.000Z
12,ClipDone,Automatic short-form video editing,0,1,https://www.producthunt.com/products/clipdone?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/ZR32M4EYACOZKM?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Social Media, Marketing, Video","Creating video content still takes too much work. The best marketing videos usually come from real people speaking to a camera, but manual editing is slow and expensive. It shouldn’t be easier to generate AI videos than to edit real ones. That’s why we built ClipDone. It automatically turns your raw footage into ready-to-post shorts. Just upload your footage and ClipDone edits it together, adds subtitles, b-roll, and animations.",2026-06-17T07:01:00.000Z
