Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,Ultracite v7,"Opinionated, zero-config code linter and formatter",74,1,https://www.producthunt.com/products/ultracite?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/DDDZU2JWTCZKZN?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Software Engineering, Developer Tools, GitHub","Ultracite is designed to help you and your AI models write consistent and type-safe code without the hassle of configuration. Trusted by top companies like Vercel, Clerk, and ElevenLabs. Get started in seconds. npx ultracite@latest init",2026-01-03T08:01:00.000Z
2,NoteTabs,Native macOS text editor with horizontal tabs & auto-restore,67,1,https://www.producthunt.com/products/notetabs?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/YJT3OOCWYZGQ7Q?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Text Editors","NoteTabs brings horizontal tabs to text editing on macOS. Fast, clean, and simple.",2026-01-03T08:01:00.000Z
3,youtube-mcp-server,MCP server for YouTube video transcription and metadata.,67,1,https://www.producthunt.com/products/youtube-mcp-server?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/QGWVUHC6ZUS7IM?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Developer Tools, Artificial Intelligence, GitHub, YouTube",A powerful Model Context Protocol (MCP) server for YouTube video transcription and metadata extraction.,2026-01-03T08:01:00.000Z
4,DaysAround,Track every country you've ever been to. Privately.,62,2,https://www.producthunt.com/products/daysaround?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/3B7CAZLWD2TSAC?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Analytics, Travel","Resurface your favorite travel memories. Keep a beautiful log of where life has taken you. Get the data that matters — days per country for tax residency, visa warnings, Schengen limits. All from your iPhone photos, scanned locally. Nothing ever uploaded.",2026-01-03T08:01:00.000Z
5,docc2json,Turn Apple DocC output into a web-friendly SDK JSON schema,62,1,https://www.producthunt.com/products/docc2json?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/APFHJ5MRZNFQRN?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"iOS, Software Engineering, GitHub, Apple","Apple DocC is great inside Xcode, but hard to reuse elsewhere. docc2json parses DocC JSON output and converts it into a clean, structured SDK schema optimized for web documentation sites, IDE tooling, and analysis.",2026-01-03T08:01:00.000Z
6,Rest Now - Screen Break Timer,Lightweight screen break timer for macOS,61,1,https://www.producthunt.com/products/rest-now-screen-break-timer?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/4ARWVFHG53OPHL?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Health & Fitness, Productivity, Menu Bar Apps","Rest Now is a lightweight screen break timer for macOS that helps reduce eye strain and mental fatigue during long screen sessions. Designed for macOS users who spend long hours coding, designing, studying, or working on a macbook. Key Features: Menu bar screen break timer, eye-friendly break reminders, minimal and distraction-free design, quietly runs in the background while you work. Rest your eyes. Reset your focus. Rest Now.",2026-01-03T08:01:00.000Z
7,8udget,"Budget, invest & track finances - works offline",59,1,https://www.producthunt.com/products/8udget?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/4FRMIF5X6NNXMK?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Android, Productivity, Finance, Personal Finance","8udget is a personal finance app that actually works offline - no internet required. Track your budget with category breakdowns, monitor stock & crypto investments in real-time, manage recurring bills with reminders, and set financial goals with progress tracking. Unlike other finance apps, your data stays on your device by default. Import messy bank statements with 80-90% accuracy. Available on iOS, Android, Web, Mac - all from one codebase built with Flutter + Rust. Free to start.",2026-01-03T08:01:00.000Z
8,Still,"A private space to think, write, and slow down",58,1,https://www.producthunt.com/products/still-write-for-yourself?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/JDBB6SS5SA35KX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Android, Writing, Health","Still is a minimal journaling app designed for people who feel overwhelmed by noise, productivity pressure, and endless feeds. Unlike traditional journaling apps, Still doesn't track streaks, moods, or goals. It gives you a private, calm space to write freely — for clarity, not performance. No accounts. No social features. No prompts telling you how to feel. Just you, your thoughts, and a moment of stillness.",2026-01-03T08:01:00.000Z
9,CalendarJet,AI scheduling with branded booking page your own domain,58,1,https://www.producthunt.com/products/calendarjet?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/Y3IHFR5DRCCUN7?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Branding, Calendar","CalendarJet is the AI powered scheduling platform that gives you what Calendly charges $15,000/year for. Custom domains (book.yourbrand.com) for just $27. One time. Forever. Normally $497. Zero branding. Your logo only. Full customization like WeTransfer. AI that schedules by voice. Built for coaches, agencies, and founders tired of the subscription trap.",2026-01-03T08:01:00.000Z
10,Fluxer,Open-source Discord-like instant messaging & VoIP platform,57,1,https://www.producthunt.com/products/fluxer?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/JJ4PNCABJIZKOV?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Messaging, Open Source, GitHub","An open-source, independent instant messaging and VoIP platform. Built for friends, groups, and communities.",2026-01-03T08:01:00.000Z
