Rank,Name,Tagline,Votes,Comments,URL,Website,Topics,Description,Created At
1,discode.ai,"100+ AI models, one interface. You set the rhythm.",0,9,https://www.producthunt.com/products/discode-ai?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/FBBEAOCYJDEVTT?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, SaaS, Artificial Intelligence","discode is your EU-friendly AI router: one interface for 100+ models, with every prompt auto-routed to the best one for the job. Or fine-tune it yourself along Smarter, Speed and Eco. It shows you which model answered and why, redacts your personal data on-device before anything leaves, checks the hard answers across multiple models, and estimates the CO₂, water and energy footprint of every request. Built in Vienna 🇦🇹. Your AI, your rhythm.",2026-06-28T07:01:00.000Z
2,Persona.js,Add WebMCP-native AI chat to any Frontend,0,9,https://www.producthunt.com/products/persona-12?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/4BWHM7CAXUKOUV?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Developer Tools, Artificial Intelligence","Persona is a lightweight, open-source AI chat UI library that embeds into any website, from modern apps to static HTML. Unlike React-based chat frameworks, Persona is framework-free, backend-agnostic, and WebMCP-native, so your assistant can discover and execute tools exposed by the parent page. Add streaming chat, voice, theming, and interactive copilot experiences without rebuilding your frontend or writing bespoke APIs.",2026-06-28T07:01:00.000Z
3,GetCompress,Lossless media compression without context switching,0,9,https://www.producthunt.com/products/getcompress?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/YBS7GXRQPIEDZS?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Mac, Productivity, Photo & Video","GetCompress is a lightweight desktop app that quickly compresses videos, images, GIFs, PDFs in batches: get up to 90% smaller files with minimal quality loss. Save your time & keep files safe with offline compression. Drag files in and out, no extra clicks. Available for Mac, Windows and Linux.",2026-06-28T07:01:00.000Z
4,Dotient,Your local semantic search app,0,2,https://www.producthunt.com/products/dotient?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/RWRX52GMAZRU3H?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Privacy, Search","Dotient is a local-first desktop application that helps you organize and search through your personal files using ML-powered visual search. Your files stay private, work offline.",2026-06-28T07:01:00.000Z
5,Lyto,"""One AI agent across your browser, tools, and messages """,0,4,https://www.producthunt.com/products/lyto?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/53QUDXZGRRT6SK?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Chrome Extensions, Task Management, Artificial Intelligence","Lyto AI is a Chrome extension that gives you full control over your browser. Open and close tabs, scroll, click, fill forms, and interact with every DOM element. Integrates with Google Docs, Gmail, and Google Sheets. Research, automate tasks, and organize your workflow — all inside Chrome.",2026-06-28T07:01:00.000Z
6,Wirable,Can AI agents use your product?,0,4,https://www.producthunt.com/products/wirable?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/MML7K5NFBG2HVE?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"API, SaaS, Artificial Intelligence","Wirable tests whether AI agents can actually use your product. Paste a URL, run real agent workflows, and get a score out of 100 with clear evidence behind every pass or fail. If agents get stuck, Wirable hosts an MCP proxy in front of your product so they can complete the job without you shipping code.",2026-06-28T07:01:00.000Z
7,Schema Source by Tabstack,"Turn any URL into a JSON Schema, Zod, or Pydantic model",0,3,https://www.producthunt.com/products/tabstack?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/IUW642OQKI6O6A?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"API, Developer Tools","Get the JSON Schema for any URL. Paste a link and get a ready-to-use schema as JSON Schema, a Zod object, or a Pydantic model. Copy it straight into your extraction or validation code. Schema Source learns each site's URL patterns, so results come back fast and stay consistent across pages of the same shape. Every result is also an API: request the same URL with JSON content negotiation and get the cached schema back, no key required. Free, by the team behind Tabstack—backed by Mozilla.",2026-06-28T07:01:00.000Z
8,Free YouTube Thumbnail Maker,Make a custom YouTube thumbnail for free.,0,1,https://www.producthunt.com/products/free-youtube-thumbnail-maker-3?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/4YAZV77UQEAEOU?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Design Tools, Productivity, YouTube","Create a custom YouTube thumbnail for free. Choose editable templates, replace images, edit text, adjust colors, download a 16:9 JPG, and preview it with your title.",2026-06-28T07:01:00.000Z
9,DevGlobe,"Where developers build in public, live on a globe",0,1,https://www.producthunt.com/products/devglobe?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/BFPO65T2SBX3N4?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Productivity, Analytics, Developer Tools, GitHub","Connect your IDE and appear live on a 3D globe as you code. Track your stats per repo, file, and language, launch your projects to a community of builders, and get noticed.",2026-06-28T07:01:00.000Z
10,ByteAsk Embedded MCP - Open Source,Stop your coding agent from guessing at datasheets,0,2,https://www.producthunt.com/products/byteask-embedded-mcp?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,https://www.producthunt.com/r/KZ35ZKDVBOE2FX?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+RanBOT+%28ID%3A+231881%29,"Open Source, Developer Tools, Artificial Intelligence","Your coding agent guesses at the datasheet - confidently, and wrong. ByteAsk Embedded MCP hands Claude Code, Codex, Cursor and any MCP client the exact, page-cited fact instead: register maps, protocol function codes, SCPI commands, standard thresholds, datasheet specs. Verbatim from the source, or an honest ""no confident match"" - never a guessed register value. Built from a research effort to measure and close the gap on C/C++ coding agents. Open source.",2026-06-28T07:01:00.000Z
